NO.,Var,dtypes,description,Var Category
1,AP001,Numeric,YR_AGE,Application
2,AP002,Numeric,CODE_GENDER,Application
3,AP003,Numeric,CODE_EDUCATION,Application
4,AP004,Numeric,LOAN_TERM,Application
5,AP005,Datetime,DATE_APPLIED,Application
6,AP006,Categoric,OS_TYPE,Application
7,AP007,Numeric,LEVEL_APPL_CITY,Application
8,AP008,Numeric,FLAG_IP_CITY_NOT_APPL_CITY,Application
9,MB001,Numeric,CONTACT,Mobile Info
10,MB002,Numeric,CONTACT_CREDIT_RULE,Mobile Info
11,MB003,Numeric,CONTACT_FAM,Mobile Info
12,MB004,Numeric,CONTACT_COLLEAGUE,Mobile Info
13,MB005,Numeric,YR_PHONE_ACTIVE,Mobile Info
14,MB006,Categoric,MOBILE_BRAND,Mobile Info
15,CR001,Numeric,FLAG_6MON_OVERDUE,Credit Bureau
16,CR002,Numeric,FLAG_6MON_M1_OVERDUE,Credit Bureau
17,CR003,Numeric,FLAG_12MON_M1_OVERDUE,Credit Bureau
18,CR004,Numeric,QUERY_MON,Credit Bureau
19,CR005,Numeric,QUERY_2MON,Credit Bureau
20,CR006,Numeric,QUERY_3MON,Credit Bureau
21,CR007,Numeric,QUERY_6MON,Credit Bureau
22,CR008,Numeric,OFFLINE_QUERY_MON,Credit Bureau
23,CR009,Numeric,AMT_LOAN_TOTAL,Credit Bureau
24,CR010,Numeric,FLAG_CREDIT_CARD_UTILITY_OVER_80%,Credit Bureau
25,CR011,Numeric,FLAG_CREDIT_CARD_OVER_6,Credit Bureau
26,CR012,Numeric,FLAG_CREDIT_CARD_OVER_8,Credit Bureau
27,CR013,Numeric,FLAG_TOTAL_CREDIT_LINE_OVER_200K,Credit Bureau
28,CR014,Numeric,FLAG_SINGLE_CREDIT_LINE_OVER_150K,Credit Bureau
29,CR015,Numeric,MONTH_CREDIT_CARD_MAX,Credit Bureau
30,CR016,Numeric,FLAG_UNCLEAR_MORTGAGE,Credit Bureau
31,CR017,Numeric,SCORE_DEBIT_CARD_TOTAL,Credit Bureau
32,CR018,Numeric,SCORE_DEBIT_CARD_UTILITY,Credit Bureau
33,CR019,Numeric,SCORE_SINGLE_DEBIT_CARD_LIMIT,Credit Bureau
34,CR020,Numeric,HIGHEST_MONTHLY_LOAN,Credit Bureau
